设备类型：XXX
测量单元名称：呼叫会话统计
服务名,实例,可信度,不可信原因,测量开始时间,测量结束时间,周期(分钟),呼叫请求次数,呼叫请求成功次数,呼叫请求失败次数,呼叫成功率,呼叫失败率,统计峰值,最大并发,x业务请求次数,x业务请求成功次数,x业务请求失败次数
Access-GW,access-node-01,可信,,2026-09-05 17:00:00,2026-09-05 17:05:00,5,1476,1467,9,99.39,0.61,389,265,893,892,1
Access-GW,access-node-02,可信,,2026-09-05 17:00:00,2026-09-05 17:05:00,5,1546,1536,10,99.35,0.65,416,283,954,950,4
SBC,sbc-node-01,可信,,2026-09-05 17:00:00,2026-09-05 17:05:00,5,1611,1601,10,99.38,0.62,421,285,1012,1005,7
Media-FW,media-node-01,可信,,2026-09-05 17:00:00,2026-09-05 17:05:00,5,1678,1669,9,99.46,0.54,433,293,1071,1068,3
IMS-Core,ims-node-01,可信,,2026-09-05 17:05:00,2026-09-05 17:10:00,5,1341,1334,7,99.48,0.52,348,199,784,781,3
IMS-Core,ims-node-02,可信,,2026-09-05 17:05:00,2026-09-05 17:10:00,5,1408,1401,7,99.50,0.50,357,204,843,837,6
Access-GW,access-node-01,可信,,2026-09-05 17:05:00,2026-09-05 17:10:00,5,1479,1471,8,99.46,0.54,392,228,905,903,2
Access-GW,access-node-02,可信,,2026-09-05 17:05:00,2026-09-05 17:10:00,5,1548,1539,9,99.42,0.58,419,246,965,960,5
SBC,sbc-node-01,可信,,2026-09-05 17:05:00,2026-09-05 17:10:00,5,1614,1605,9,99.44,0.56,423,248,1023,1022,1
Media-FW,media-node-01,可信,,2026-09-05 17:05:00,2026-09-05 17:10:00,5,1681,1672,9,99.46,0.54,436,256,1083,1079,4
IMS-Core,ims-node-01,可信,,2026-09-05 17:10:00,2026-09-05 17:15:00,5,1333,1326,7,99.47,0.53,350,201,789,785,4
IMS-Core,ims-node-02,可信,,2026-09-05 17:10:00,2026-09-05 17:15:00,5,1401,1394,7,99.50,0.50,360,206,849,842,7
Access-GW,access-node-01,可信,,2026-09-05 17:10:00,2026-09-05 17:15:00,5,1470,1462,8,99.46,0.54,394,230,909,906,3
Access-GW,access-node-02,可信,,2026-09-05 17:10:00,2026-09-05 17:15:00,5,1538,1529,9,99.41,0.59,421,248,969,963,6
SBC,sbc-node-01,可信,,2026-09-05 17:10:00,2026-09-05 17:15:00,5,1606,1597,9,99.44,0.56,426,250,1029,1027,2
Media-FW,media-node-01,可信,,2026-09-05 17:10:00,2026-09-05 17:15:00,5,1673,1664,9,99.46,0.54,439,258,1088,1083,5
IMS-Core,ims-node-01,可信,,2026-09-05 17:15:00,2026-09-05 17:20:00,5,1315,1309,6,99.54,0.46,353,203,789,784,5
IMS-Core,ims-node-02,可信,,2026-09-05 17:15:00,2026-09-05 17:20:00,5,1384,1378,6,99.57,0.43,363,209,849,848,1
Access-GW,access-node-01,可信,,2026-09-05 17:15:00,2026-09-05 17:20:00,5,1451,1444,7,99.52,0.48,397,232,909,905,4
Access-GW,access-node-02,可信,,2026-09-05 17:15:00,2026-09-05 17:20:00,5,1518,1510,8,99.47,0.53,423,250,968,961,7
SBC,sbc-node-01,可信,,2026-09-05 17:15:00,2026-09-05 17:20:00,5,1587,1579,8,99.50,0.50,428,252,1028,1025,3
Media-FW,media-node-01,可信,,2026-09-05 17:15:00,2026-09-05 17:20:00,5,1655,1647,8,99.52,0.48,441,260,1088,1082,6
IMS-Core,ims-node-01,可信,,2026-09-05 17:20:00,2026-09-05 17:25:00,5,1289,1283,6,99.53,0.47,288,205,784,778,6
IMS-Core,ims-node-02,可信,,2026-09-05 17:20:00,2026-09-05 17:25:00,5,1358,1352,6,99.56,0.44,297,211,845,843,2
Access-GW,access-node-01,可信,,2026-09-05 17:20:00,2026-09-05 17:25:00,5,1423,1416,7,99.51,0.49,331,234,903,898,5
Access-GW,access-node-02,可信,,2026-09-05 17:20:00,2026-09-05 17:25:00,5,1489,1481,8,99.46,0.54,357,252,961,960,1
SBC,sbc-node-01,可信,,2026-09-05 17:20:00,2026-09-05 17:25:00,5,1560,1552,8,99.49,0.51,363,255,1023,1019,4
Media-FW,media-node-01,可信,,2026-09-05 17:20:00,2026-09-05 17:25:00,5,1628,1621,7,99.57,0.43,376,262,1082,1075,7
IMS-Core,ims-node-01,可信,,2026-09-05 17:25:00,2026-09-05 17:30:00,5,1258,1253,5,99.60,0.40,290,207,777,770,7
IMS-Core,ims-node-02,可信,,2026-09-05 17:25:00,2026-09-05 17:30:00,5,1328,1323,5,99.62,0.38,300,213,837,834,3
Access-GW,access-node-01,可信,,2026-09-05 17:25:00,2026-09-05 17:30:00,5,1391,1385,6,99.57,0.43,334,236,894,888,6
Access-GW,access-node-02,可信,,2026-09-05 17:25:00,2026-09-05 17:30:00,5,1456,1449,7,99.52,0.48,360,254,952,950,2
SBC,sbc-node-01,可信,,2026-09-05 17:25:00,2026-09-05 17:30:00,5,1527,1520,7,99.54,0.46,365,257,1014,1009,5
Media-FW,media-node-01,可信,,2026-09-05 17:25:00,2026-09-05 17:30:00,5,1597,1590,7,99.56,0.44,378,264,1075,1074,1
IMS-Core,ims-node-01,可信,,2026-09-05 17:30:00,2026-09-05 17:35:00,5,1225,1221,4,99.67,0.33,293,209,698,697,1
IMS-Core,ims-node-02,可信,,2026-09-05 17:30:00,2026-09-05 17:35:00,5,1296,1292,4,99.69,0.31,303,215,759,755,4
Access-GW,access-node-01,可信,,2026-09-05 17:30:00,2026-09-05 17:35:00,5,1357,1352,5,99.63,0.37,336,238,815,808,7
Access-GW,access-node-02,可信,,2026-09-05 17:30:00,2026-09-05 17:35:00,5,1421,1415,6,99.58,0.42,362,256,872,869,3
SBC,sbc-node-01,可信,,2026-09-05 17:30:00,2026-09-05 17:35:00,5,1494,1488,6,99.60,0.40,368,259,935,929,6
Media-FW,media-node-01,可信,,2026-09-05 17:30:00,2026-09-05 17:35:00,5,1564,1558,6,99.62,0.38,381,267,996,994,2
IMS-Core,ims-node-01,可信,,2026-09-05 17:35:00,2026-09-05 17:40:00,5,1107,1103,4,99.64,0.36,295,211,640,638,2
IMS-Core,ims-node-02,可信,,2026-09-05 17:35:00,2026-09-05 17:40:00,5,1179,1175,4,99.66,0.34,306,217,703,698,5
Access-GW,access-node-01,可信,,2026-09-05 17:35:00,2026-09-05 17:40:00,5,1237,1232,5,99.60,0.40,338,240,757,756,1
Access-GW,access-node-02,可信,,2026-09-05 17:35:00,2026-09-05 17:40:00,5,1300,1294,6,99.54,0.46,364,257,813,809,4
SBC,sbc-node-01,可信,,2026-09-05 17:35:00,2026-09-05 17:40:00,5,1375,1369,6,99.56,0.44,370,260,877,870,7
Media-FW,media-node-01,可信,,2026-09-05 17:35:00,2026-09-05 17:40:00,5,1445,1439,6,99.58,0.42,383,269,938,935,3
IMS-Core,ims-node-01,可信,,2026-09-05 17:40:00,2026-09-05 17:45:00,5,1083,1078,5,99.54,0.46,298,214,637,634,3
IMS-Core,ims-node-02,可信,,2026-09-05 17:40:00,2026-09-05 17:45:00,5,1156,1151,5,99.57,0.43,308,220,699,693,6
Access-GW,access-node-01,可信,,2026-09-05 17:40:00,2026-09-05 17:45:00,5,1212,1206,6,99.50,0.50,341,242,752,750,2
Access-GW,access-node-02,可信,,2026-09-05 17:40:00,2026-09-05 17:45:00,5,1274,1268,6,99.53,0.47,366,259,809,804,5
SBC,sbc-node-01,可信,,2026-09-05 17:40:00,2026-09-05 17:45:00,5,1350,1344,6,99.56,0.44,373,262,873,872,1
Media-FW,media-node-01,可信,,2026-09-05 17:40:00,2026-09-05 17:45:00,5,1421,1415,6,99.58,0.42,386,271,934,930,4
IMS-Core,ims-node-01,可信,,2026-09-05 17:45:00,2026-09-05 17:50:00,5,1068,1063,5,99.53,0.47,300,216,638,634,4
IMS-Core,ims-node-02,可信,,2026-09-05 17:45:00,2026-09-05 17:50:00,5,1143,1138,5,99.56,0.44,311,222,702,695,7
Access-GW,access-node-01,可信,,2026-09-05 17:45:00,2026-09-05 17:50:00,5,1196,1190,6,99.50,0.50,343,244,753,750,3
Access-GW,access-node-02,可信,,2026-09-05 17:45:00,2026-09-05 17:50:00,5,1256,1249,7,99.44,0.56,368,261,808,802,6
SBC,sbc-node-01,可信,,2026-09-05 17:45:00,2026-09-05 17:50:00,5,1334,1327,7,99.48,0.52,375,264,874,872,2
Media-FW,media-node-01,可信,,2026-09-05 17:45:00,2026-09-05 17:50:00,5,1406,1399,7,99.50,0.50,388,273,936,931,5
IMS-Core,ims-node-01,可信,,2026-09-05 17:50:00,2026-09-05 17:55:00,5,1064,1059,5,99.53,0.47,303,218,646,641,5
IMS-Core,ims-node-02,可信,,2026-09-05 17:50:00,2026-09-05 17:55:00,5,1139,1134,5,99.56,0.44,314,224,710,709,1
Access-GW,access-node-01,可信,,2026-09-05 17:50:00,2026-09-05 17:55:00,5,1191,1185,6,99.50,0.50,345,246,760,756,4
Access-GW,access-node-02,可信,,2026-09-05 17:50:00,2026-09-05 17:55:00,5,1250,1243,7,99.44,0.56,370,263,815,808,7
SBC,sbc-node-01,可信,,2026-09-05 17:50:00,2026-09-05 17:55:00,5,1329,1322,7,99.47,0.53,377,266,881,878,3
Media-FW,media-node-01,可信,,2026-09-05 17:50:00,2026-09-05 17:55:00,5,1401,1394,7,99.50,0.50,391,275,943,937,6
IMS-Core,ims-node-01,可信,,2026-09-05 17:55:00,2026-09-05 18:00:00,5,1071,1065,6,99.44,0.56,305,220,660,654,6
IMS-Core,ims-node-02,可信,,2026-09-05 17:55:00,2026-09-05 18:00:00,5,1147,1141,6,99.48,0.52,316,226,724,722,2
Access-GW,access-node-01,可信,,2026-09-05 17:55:00,2026-09-05 18:00:00,5,1196,1189,7,99.41,0.59,347,248,773,768,5
Access-GW,access-node-02,可信,,2026-09-05 17:55:00,2026-09-05 18:00:00,5,1254,1246,8,99.36,0.64,372,264,827,826,1
SBC,sbc-node-01,可信,,2026-09-05 17:55:00,2026-09-05 18:00:00,5,1335,1327,8,99.40,0.60,379,268,894,890,4
Media-FW,media-node-01,可信,,2026-09-05 17:55:00,2026-09-05 18:00:00,5,1408,1400,8,99.43,0.57,393,276,957,950,7
IMS-Core,ims-node-01,可信,,2026-09-05 18:00:00,2026-09-05 18:05:00,5,1089,1083,6,99.45,0.55,308,222,680,673,7
IMS-Core,ims-node-02,可信,,2026-09-05 18:00:00,2026-09-05 18:05:00,5,1166,1160,6,99.49,0.51,319,228,745,742,3
Access-GW,access-node-01,可信,,2026-09-05 18:00:00,2026-09-05 18:05:00,5,1213,1206,7,99.42,0.58,350,249,793,787,6
Access-GW,access-node-02,可信,,2026-09-05 18:00:00,2026-09-05 18:05:00,5,1269,1261,8,99.37,0.63,374,266,846,844,2
SBC,sbc-node-01,可信,,2026-09-05 18:00:00,2026-09-05 18:05:00,5,1352,1344,8,99.41,0.59,382,270,914,909,5
Media-FW,media-node-01,可信,,2026-09-05 18:00:00,2026-09-05 18:05:00,5,1425,1417,8,99.44,0.56,395,278,977,976,1
IMS-Core,ims-node-01,可信,,2026-09-05 18:05:00,2026-09-05 18:10:00,5,1114,1108,6,99.46,0.54,310,224,634,633,1
IMS-Core,ims-node-02,可信,,2026-09-05 18:05:00,2026-09-05 18:10:00,5,1193,1187,6,99.50,0.50,322,230,701,697,4
Access-GW,access-node-01,可信,,2026-09-05 18:05:00,2026-09-05 18:10:00,5,1237,1230,7,99.43,0.57,352,251,747,740,7
Access-GW,access-node-02,可信,,2026-09-05 18:05:00,2026-09-05 18:10:00,5,1292,1284,8,99.38,0.62,376,268,799,796,3
SBC,sbc-node-01,可信,,2026-09-05 18:05:00,2026-09-05 18:10:00,5,1376,1368,8,99.42,0.58,384,272,868,862,6
Media-FW,media-node-01,可信,,2026-09-05 18:05:00,2026-09-05 18:10:00,5,1450,1442,8,99.45,0.55,398,280,931,929,2
IMS-Core,ims-node-01,可信,,2026-09-05 18:10:00,2026-09-05 18:15:00,5,1145,1139,6,99.48,0.52,313,186,662,660,2
IMS-Core,ims-node-02,可信,,2026-09-05 18:10:00,2026-09-05 18:15:00,5,1224,1217,7,99.43,0.57,324,193,728,723,5
Access-GW,access-node-01,可信,,2026-09-05 18:10:00,2026-09-05 18:15:00,5,1266,1258,8,99.37,0.63,354,214,773,772,1
Access-GW,access-node-02,可信,,2026-09-05 18:10:00,2026-09-05 18:15:00,5,1320,1311,9,99.32,0.68,378,230,825,821,4
SBC,sbc-node-01,可信,,2026-09-05 18:10:00,2026-09-05 18:15:00,5,1406,1397,9,99.36,0.64,386,235,895,888,7
Media-FW,media-node-01,可信,,2026-09-05 18:10:00,2026-09-05 18:15:00,5,1481,1472,9,99.39,0.61,400,243,959,956,3
IMS-Core,ims-node-01,可信,,2026-09-05 18:15:00,2026-09-05 18:20:00,5,1178,1171,7,99.41,0.59,315,188,691,688,3
IMS-Core,ims-node-02,可信,,2026-09-05 18:15:00,2026-09-05 18:20:00,5,1258,1251,7,99.44,0.56,327,195,758,752,6
Access-GW,access-node-01,可信,,2026-09-05 18:15:00,2026-09-05 18:20:00,5,1297,1289,8,99.38,0.62,356,216,801,799,2
Access-GW,access-node-02,可信,,2026-09-05 18:15:00,2026-09-05 18:20:00,5,1350,1341,9,99.33,0.67,380,232,852,847,5
SBC,sbc-node-01,可信,,2026-09-05 18:15:00,2026-09-05 18:20:00,5,1437,1428,9,99.37,0.63,388,236,923,922,1
Media-FW,media-node-01,可信,,2026-09-05 18:15:00,2026-09-05 18:20:00,5,1512,1503,9,99.40,0.60,402,245,986,982,4
IMS-Core,ims-node-01,可信,,2026-09-05 18:20:00,2026-09-05 18:25:00,5,1207,1200,7,99.42,0.58,317,190,717,713,4
IMS-Core,ims-node-02,可信,,2026-09-05 18:20:00,2026-09-05 18:25:00,5,1289,1282,7,99.46,0.54,329,197,785,778,7
Access-GW,access-node-01,可信,,2026-09-05 18:20:00,2026-09-05 18:25:00,5,1326,1318,8,99.40,0.60,358,218,827,824,3
Access-GW,access-node-02,可信,,2026-09-05 18:20:00,2026-09-05 18:25:00,5,1377,1368,9,99.35,0.65,381,233,877,871,6
SBC,sbc-node-01,可信,,2026-09-05 18:20:00,2026-09-05 18:25:00,5,1466,1457,9,99.39,0.61,390,238,949,947,2
Media-FW,media-node-01,可信,,2026-09-05 18:20:00,2026-09-05 18:25:00,5,1542,1533,9,99.42,0.58,404,247,1013,1008,5
IMS-Core,ims-node-01,可信,,2026-09-05 18:25:00,2026-09-05 18:30:00,5,1231,1224,7,99.43,0.57,320,192,741,736,5
IMS-Core,ims-node-02,可信,,2026-09-05 18:25:00,2026-09-05 18:30:00,5,1314,1307,7,99.47,0.53,332,199,809,808,1
Access-GW,access-node-01,可信,,2026-09-05 18:25:00,2026-09-05 18:30:00,5,1348,1340,8,99.41,0.59,360,219,850,846,4
Access-GW,access-node-02,可信,,2026-09-05 18:25:00,2026-09-05 18:30:00,5,1398,1389,9,99.36,0.64,383,235,899,892,7
SBC,sbc-node-01,可信,,2026-09-05 18:25:00,2026-09-05 18:30:00,5,1489,1480,9,99.40,0.60,393,240,972,969,3
Media-FW,media-node-01,可信,,2026-09-05 18:25:00,2026-09-05 18:30:00,5,1565,1556,9,99.42,0.58,407,249,1037,1031,6
IMS-Core,ims-node-01,可信,,2026-09-05 18:30:00,2026-09-05 18:35:00,5,1158,1152,6,99.48,0.52,322,194,710,704,6
IMS-Core,ims-node-02,可信,,2026-09-05 18:30:00,2026-09-05 18:35:00,5,1242,1236,6,99.52,0.48,334,201,778,776,2
Access-GW,access-node-01,可信,,2026-09-05 18:30:00,2026-09-05 18:35:00,5,1274,1267,7,99.45,0.55,362,221,818,813,5
Access-GW,access-node-02,可信,,2026-09-05 18:30:00,2026-09-05 18:35:00,5,1323,1315,8,99.40,0.60,385,237,867,866,1
SBC,sbc-node-01,可信,,2026-09-05 18:30:00,2026-09-05 18:35:00,5,1415,1407,8,99.43,0.57,395,242,940,936,4
Media-FW,media-node-01,可信,,2026-09-05 18:30:00,2026-09-05 18:35:00,5,1492,1484,8,99.46,0.54,409,251,1005,998,7
IMS-Core,ims-node-01,可信,,2026-09-05 18:35:00,2026-09-05 18:40:00,5,1162,1156,6,99.48,0.52,324,196,722,715,7
IMS-Core,ims-node-02,可信,,2026-09-05 18:35:00,2026-09-05 18:40:00,5,1247,1241,6,99.52,0.48,337,203,791,788,3
Access-GW,access-node-01,可信,,2026-09-05 18:35:00,2026-09-05 18:40:00,5,1276,1269,7,99.45,0.55,364,223,829,823,6
Access-GW,access-node-02,可信,,2026-09-05 18:35:00,2026-09-05 18:40:00,5,1324,1316,8,99.40,0.60,387,238,877,875,2
SBC,sbc-node-01,可信,,2026-09-05 18:35:00,2026-09-05 18:40:00,5,1418,1410,8,99.44,0.56,397,244,952,947,5
Media-FW,media-node-01,可信,,2026-09-05 18:35:00,2026-09-05 18:40:00,5,1496,1488,8,99.47,0.53,411,252,1017,1016,1
IMS-Core,ims-node-01,可信,,2026-09-05 18:40:00,2026-09-05 18:45:00,5,1155,1149,6,99.48,0.52,327,198,658,657,1
IMS-Core,ims-node-02,可信,,2026-09-05 18:40:00,2026-09-05 18:45:00,5,1241,1235,6,99.52,0.48,339,205,728,724,4
Access-GW,access-node-01,可信,,2026-09-05 18:40:00,2026-09-05 18:45:00,5,1268,1261,7,99.45,0.55,366,224,764,757,7
Access-GW,access-node-02,可信,,2026-09-05 18:40:00,2026-09-05 18:45:00,5,1314,1307,7,99.47,0.53,388,240,811,808,3
SBC,sbc-node-01,可信,,2026-09-05 18:40:00,2026-09-05 18:45:00,5,1410,1402,8,99.43,0.57,399,245,887,881,6
Media-FW,media-node-01,可信,,2026-09-05 18:40:00,2026-09-05 18:45:00,5,1488,1481,7,99.53,0.47,413,254,953,951,2
IMS-Core,ims-node-01,可信,,2026-09-05 18:45:00,2026-09-05 18:50:00,5,1137,1132,5,99.56,0.44,261,200,658,656,2
IMS-Core,ims-node-02,可信,,2026-09-05 18:45:00,2026-09-05 18:50:00,5,1224,1219,5,99.59,0.41,274,207,728,723,5
Access-GW,access-node-01,可信,,2026-09-05 18:45:00,2026-09-05 18:50:00,5,1248,1242,6,99.52,0.48,300,226,763,762,1
Access-GW,access-node-02,可信,,2026-09-05 18:45:00,2026-09-05 18:50:00,5,1293,1286,7,99.46,0.54,322,241,810,806,4
SBC,sbc-node-01,可信,,2026-09-05 18:45:00,2026-09-05 18:50:00,5,1391,1384,7,99.50,0.50,333,247,886,879,7
Media-FW,media-node-01,可信,,2026-09-05 18:45:00,2026-09-05 18:50:00,5,1470,1463,7,99.52,0.48,347,256,952,949,3
IMS-Core,ims-node-01,可信,,2026-09-05 18:50:00,2026-09-05 18:55:00,5,1111,1106,5,99.55,0.45,263,201,653,650,3
IMS-Core,ims-node-02,可信,,2026-09-05 18:50:00,2026-09-05 18:55:00,5,1198,1193,5,99.58,0.42,276,209,723,717,6
Access-GW,access-node-01,可信,,2026-09-05 18:50:00,2026-09-05 18:55:00,5,1220,1214,6,99.51,0.49,302,228,757,755,2
Access-GW,access-node-02,可信,,2026-09-05 18:50:00,2026-09-05 18:55:00,5,1264,1258,6,99.53,0.47,324,243,803,798,5
SBC,sbc-node-01,可信,,2026-09-05 18:50:00,2026-09-05 18:55:00,5,1363,1357,6,99.56,0.44,335,249,880,879,1
Media-FW,media-node-01,可信,,2026-09-05 18:50:00,2026-09-05 18:55:00,5,1443,1437,6,99.58,0.42,350,258,947,943,4
IMS-Core,ims-node-01,可信,,2026-09-05 18:55:00,2026-09-05 19:00:00,5,1079,1075,4,99.63,0.37,265,203,645,641,4
IMS-Core,ims-node-02,可信,,2026-09-05 18:55:00,2026-09-05 19:00:00,5,1167,1163,4,99.66,0.34,279,211,716,709,7
Access-GW,access-node-01,可信,,2026-09-05 18:55:00,2026-09-05 19:00:00,5,1187,1182,5,99.58,0.42,304,229,748,745,3
Access-GW,access-node-02,不可信,采样窗口部分回补,2026-09-05 18:55:00,2026-09-05 19:00:00,5,1229,1224,5,99.59,0.41,325,244,793,787,6
SBC,sbc-node-01,可信,,2026-09-05 18:55:00,2026-09-05 19:00:00,5,1330,1324,6,99.55,0.45,337,250,872,870,2
Media-FW,media-node-01,不可信,采样窗口部分回补,2026-09-05 18:55:00,2026-09-05 19:00:00,5,1410,1404,6,99.57,0.43,352,260,938,933,5
IMS-Core,ims-node-01,可信,,2026-09-05 19:00:00,2026-09-05 19:05:00,5,1044,1040,4,99.62,0.38,267,205,635,630,5
IMS-Core,ims-node-02,可信,,2026-09-05 19:00:00,2026-09-05 19:05:00,5,1134,1130,4,99.65,0.35,281,213,707,706,1
Access-GW,access-node-01,可信,,2026-09-05 19:00:00,2026-09-05 19:05:00,5,1151,1146,5,99.57,0.43,306,231,738,734,4
Access-GW,access-node-02,可信,,2026-09-05 19:00:00,2026-09-05 19:05:00,5,1192,1187,5,99.58,0.42,327,245,782,775,7
SBC,sbc-node-01,可信,,2026-09-05 19:00:00,2026-09-05 19:05:00,5,1294,1289,5,99.61,0.39,339,252,861,858,3
Media-FW,media-node-01,可信,,2026-09-05 19:00:00,2026-09-05 19:05:00,5,1375,1370,5,99.64,0.36,354,261,928,922,6
IMS-Core,ims-node-01,可信,,2026-09-05 19:05:00,2026-09-05 19:10:00,5,1012,1008,4,99.60,0.40,270,207,626,620,6
IMS-Core,ims-node-02,可信,,2026-09-05 19:05:00,2026-09-05 19:10:00,5,1103,1099,4,99.64,0.36,284,215,699,697,2
Access-GW,access-node-01,可信,,2026-09-05 19:05:00,2026-09-05 19:10:00,5,1117,1112,5,99.55,0.45,308,233,728,723,5
Access-GW,access-node-02,可信,,2026-09-05 19:05:00,2026-09-05 19:10:00,5,1156,1150,6,99.48,0.52,329,247,771,770,1
SBC,sbc-node-01,可信,,2026-09-05 19:05:00,2026-09-05 19:10:00,5,1261,1255,6,99.52,0.48,341,254,852,848,4
Media-FW,media-node-01,可信,,2026-09-05 19:05:00,2026-09-05 19:10:00,5,1342,1336,6,99.55,0.45,356,263,919,912,7
IMS-Core,ims-node-01,可信,,2026-09-05 19:10:00,2026-09-05 19:15:00,5,985,981,4,99.59,0.41,272,209,621,614,7
IMS-Core,ims-node-02,可信,,2026-09-05 19:10:00,2026-09-05 19:15:00,5,1077,1072,5,99.54,0.46,286,217,694,691,3
Access-GW,access-node-01,可信,,2026-09-05 19:10:00,2026-09-05 19:15:00,5,1089,1084,5,99.54,0.46,310,234,722,716,6
Access-GW,access-node-02,可信,,2026-09-05 19:10:00,2026-09-05 19:15:00,5,1127,1121,6,99.47,0.53,330,248,765,763,2
SBC,sbc-node-01,可信,,2026-09-05 19:10:00,2026-09-05 19:15:00,5,1233,1227,6,99.51,0.49,343,255,846,841,5
Media-FW,media-node-01,可信,,2026-09-05 19:10:00,2026-09-05 19:15:00,5,1315,1309,6,99.54,0.46,358,265,914,913,1
IMS-Core,ims-node-01,可信,,2026-09-05 19:15:00,2026-09-05 19:20:00,5,967,962,5,99.48,0.52,274,171,551,550,1
IMS-Core,ims-node-02,可信,,2026-09-05 19:15:00,2026-09-05 19:20:00,5,1060,1055,5,99.53,0.47,288,180,625,621,4
Access-GW,access-node-01,可信,,2026-09-05 19:15:00,2026-09-05 19:20:00,5,1069,1063,6,99.44,0.56,312,197,651,644,7
Access-GW,access-node-02,可信,,2026-09-05 19:15:00,2026-09-05 19:20:00,5,1106,1100,6,99.46,0.54,332,211,693,690,3
SBC,sbc-node-01,可信,,2026-09-05 19:15:00,2026-09-05 19:20:00,5,1214,1208,6,99.51,0.49,345,218,775,769,6
Media-FW,media-node-01,可信,,2026-09-05 19:15:00,2026-09-05 19:20:00,5,1297,1291,6,99.54,0.46,360,227,844,842,2
IMS-Core,ims-node-01,可信,,2026-09-05 19:20:00,2026-09-05 19:25:00,5,959,954,5,99.48,0.52,276,173,556,554,2
IMS-Core,ims-node-02,可信,,2026-09-05 19:20:00,2026-09-05 19:25:00,5,1054,1049,5,99.53,0.47,291,182,631,626,5
Access-GW,access-node-01,可信,,2026-09-05 19:20:00,2026-09-05 19:25:00,5,1060,1054,6,99.43,0.57,313,198,656,655,1
Access-GW,access-node-02,可信,,2026-09-05 19:20:00,2026-09-05 19:25:00,5,1095,1088,7,99.36,0.64,334,212,697,693,4
SBC,sbc-node-01,可信,,2026-09-05 19:20:00,2026-09-05 19:25:00,5,1205,1198,7,99.42,0.58,347,219,780,773,7
Media-FW,media-node-01,可信,,2026-09-05 19:20:00,2026-09-05 19:25:00,5,1288,1281,7,99.46,0.54,362,229,849,846,3
IMS-Core,ims-node-01,可信,,2026-09-05 19:25:00,2026-09-05 19:30:00,5,875,870,5,99.43,0.57,278,175,518,515,3
IMS-Core,ims-node-02,可信,,2026-09-05 19:25:00,2026-09-05 19:30:00,5,971,966,5,99.49,0.51,293,184,594,588,6
Access-GW,access-node-01,可信,,2026-09-05 19:25:00,2026-09-05 19:30:00,5,974,968,6,99.38,0.62,315,200,617,615,2
Access-GW,access-node-02,可信,,2026-09-05 19:25:00,2026-09-05 19:30:00,5,1008,1002,6,99.40,0.60,335,213,657,652,5
SBC,sbc-node-01,可信,,2026-09-05 19:25:00,2026-09-05 19:30:00,5,1120,1113,7,99.38,0.62,349,221,742,741,1
Media-FW,media-node-01,可信,,2026-09-05 19:25:00,2026-09-05 19:30:00,5,1204,1197,7,99.42,0.58,364,231,811,807,4
IMS-Core,ims-node-01,可信,,2026-09-05 19:30:00,2026-09-05 19:35:00,5,890,885,5,99.44,0.56,280,177,537,533,4
IMS-Core,ims-node-02,可信,,2026-09-05 19:30:00,2026-09-05 19:35:00,5,986,981,5,99.49,0.51,295,186,613,606,7
Access-GW,access-node-01,可信,,2026-09-05 19:30:00,2026-09-05 19:35:00,5,987,981,6,99.39,0.61,317,201,634,631,3
Access-GW,access-node-02,可信,,2026-09-05 19:30:00,2026-09-05 19:35:00,5,1019,1012,7,99.31,0.69,337,215,673,667,6
SBC,sbc-node-01,可信,,2026-09-05 19:30:00,2026-09-05 19:35:00,5,1133,1126,7,99.38,0.62,351,223,759,757,2
Media-FW,media-node-01,可信,,2026-09-05 19:30:00,2026-09-05 19:35:00,5,1218,1211,7,99.43,0.57,366,233,829,824,5
IMS-Core,ims-node-01,可信,,2026-09-05 19:35:00,2026-09-05 19:40:00,5,913,908,5,99.45,0.55,283,178,560,555,5
IMS-Core,ims-node-02,可信,,2026-09-05 19:35:00,2026-09-05 19:40:00,5,1011,1006,5,99.51,0.49,298,188,637,636,1
Access-GW,access-node-01,可信,,2026-09-05 19:35:00,2026-09-05 19:40:00,5,1009,1003,6,99.41,0.59,319,203,657,653,4
Access-GW,access-node-02,可信,,2026-09-05 19:35:00,2026-09-05 19:40:00,5,1040,1033,7,99.33,0.67,338,216,695,688,7
SBC,sbc-node-01,可信,,2026-09-05 19:35:00,2026-09-05 19:40:00,5,1155,1148,7,99.39,0.61,352,224,782,779,3
Media-FW,media-node-01,可信,,2026-09-05 19:35:00,2026-09-05 19:40:00,5,1240,1233,7,99.44,0.56,368,234,851,845,6
IMS-Core,ims-node-01,可信,,2026-09-05 19:40:00,2026-09-05 19:45:00,5,942,937,5,99.47,0.53,285,180,586,580,6
IMS-Core,ims-node-02,可信,,2026-09-05 19:40:00,2026-09-05 19:45:00,5,1041,1035,6,99.42,0.58,300,190,664,662,2
Access-GW,access-node-01,可信,,2026-09-05 19:40:00,2026-09-05 19:45:00,5,1037,1031,6,99.42,0.58,321,204,683,678,5
Access-GW,access-node-02,可信,,2026-09-05 19:40:00,2026-09-05 19:45:00,5,1066,1059,7,99.34,0.66,340,217,720,719,1
SBC,sbc-node-01,可信,,2026-09-05 19:40:00,2026-09-05 19:45:00,5,1183,1176,7,99.41,0.59,354,226,808,804,4
